Title,Company,Location,Pay,Description
['Reception/ Administration/High volume Invoicing staff needed'],['BT Recruitment Pty Ltd'],['Melbourne'],[],"['<div data-automation=""mobileTemplate"" class=""_2e4Pi2B""><p><br>Several Positions are Full-time Temp with view to permanent</p>  <p>Several Positions are Part time Temp with view to permanent</p>  <p><strong>Dandenong, Carrum Downs and Braeside areas</strong></p>  <p>\xa0</p>  <p>Our Agency is seeking professional front desk Receptionists who possess excellent customer service skills, fast and accurate data entry, who can apply their strong administration skills and experience to these assignments</p>  <p><strong>We are seeking people with any of the following experience and skills</strong></p>  <p>Front Desk Receptionists</p>  <p>Data Entry Operators (Invoicing, Excel etc)</p>  <p>High Volume Invoicing experience</p>  <p>Accounts (Payable and Receivable)</p>  <p>Strong Administration and Office all-round skills and experience</p>  <p>Strong computer skills (Word, MYOB, Excel etc)</p>  <p>Possess excellent presentation and verbal skills</p>  <p>\xa0</p>  <p>If you are bright, enthusiastic, possess strong computer skills\xa0 and want to work in friendly and productive offices with the opportunity for fulltime opportunities please apply</p>  <p>\xa0</p>  <p>If you are available immediately please apply</p>  <p>\xa0</p>  <p>\xa0</p>  <p>\xa0</p></div>']"
['Lead Data Architect'],['ME'],['Melbourne'],[],"['<div data-automation=""mobileTemplate"" class=""_2e4Pi2B""><p><strong>Let’s talk about ME</strong><br><br>We’re not like other banks.</p> <p>ME was created by the industry super funds to be different from the pack \xad– and we’re passionate about staying that way as we head into an exciting and progressive future.</p> <p>We are building a bank, a company and a brand that we can be proud of – but to achieve that, we need the best people. To help ME get there, you’ll challenge the status quo and share extraordinary ideas – and our size guarantees you’ll have the opportunity, support, and environment to be heard.</p> <p>ME’s core purpose is helping all Australians get ahead – no conditions, asterisks or exceptions.</p> <p>We believe everyone deserves the same opportunities in life, regardless of gender or identity, sexuality, ethnicity, disability or religion. This is why we’re so committed to an equal opportunity workplace\xa0– because we know our success won’t come from focusing on similarities, but by embracing and celebrating our diversity.</p> <p>\xa0</p> <p><strong>Let’s talk about the JOB:</strong></p> <p>As the Lead Data Architect, you will serve a key leadership role within ME’s Enterprise Data function, with responsibility for Data Architecture and Design.</p> <p>The purpose of the role is to lead a team of experts to ensure data assets are designed well, captured for quality, stored for efficiency, documented for ease of use and delivered reliably, to ensure data remains harmonised across its ecosystem to deliver multiple benefits for our business.</p> <p>Reporting to the General Manager, you will oversee bank-wide data architecture and data modelling practices, emphasising the creation of re-useable data assets and appropriate metadata.</p> <p>You will be responsible for leading and quality assuring data mapping activities and outputs to support ETL development and data migrations, and specifically develop business (conceptual) and logical data mappings required for ME’s data integration environments.</p> <p>Engendering strong working relationships with Business and Technology stakeholders, you will foster a strong data community between various business lines, acting as a driving force and strong advocate of the Data strategy at Australia’s fastest growing Bank.</p> <p><br><strong>Let\'s talk about YOU:</strong></p> <p>You have extensive experience working in Enterprise Data Platforms with advanced skills utilising data modelling practices.</p> <p>You have considerable functional and design experience across the data, analytics and decision systems domains both from a technology, process and business outcomes. \xa0You empower your team to utilise emerging technologies to build out infrastructure that can be utilised and leveraged across the organisation. Additionally, you have the innate ability to see the ‘bigger picture’ around aligning reporting requirements to business outcomes.</p> <p>A problem solver and strong communicator, you have the gravitas to build relationships and influence cross functionally which will see you drive positive engagement in ME’s Data culture.</p> <p>Experience in Agile project management methodology will be highly regarded.<br>\xa0</p> <p><strong>About the Perks</strong></p> <p>At ME, we believe that work should be a place that you can make the most of – and these are just some of the many reasons why people love it here:</p> <ul> <li>Popular culture – that’s not a claim, we’ve got the data to prove it. We genuinely care about each other and work in an encouraging and collaborative environment.</li> <li>The whole package – sure, we’re going to reward you well with your salary package – but there are also lots of other perks – including free health support, conveniently-located offices, plus much more.</li> <li>Not afraid to fail? We embrace action-oriented people like you. That’s right, you can make mistakes here and it’s ok – so long as you learn from them.</li> <li>To be ME, we need you\xa0– we’re building something really cool and you get to directly influence what that is.</li> <li>ProudlyME – our internal pride network – has a swag of initiatives that show support, education, and passion toward our team and customers, demonstrating that ME is a strong advocate on equal rights for the LGBTIQ+ community.</li> <li>Meet the Execs – our Executive team is fun and full of passion because we know great managers mean happy staff.</li></ul> <p>Oh, and did we mention you get your very own ME branded Converse High-top shoes? Now that’s a reason to get your foot in the door.<br>\xa0</p> <p><strong>I was born to play this role</strong></p> <p>Can’t see a closing date on the advert? That’s because we’re pretty efficient here at ME and we may start looking at applications sooner rather than later, so if this role sounds like your jam, be sure to apply today.</p> <p>\xa0</p> <p><em>Should an applicant be the preferred candidate, background checks (including police checks, reference checks, ASIC banned and disqualified persons and bankruptcy checks) will be completed prior to the candidate\'s employment being confirmed. The outcomes of the background checks do not automatically bar candidates; however will be assessed against the inherent requirements of the job.</em></p></div>']"
['Data Analyst'],['Victoria University'],['Melbourne'],[],"['<div data-automation=""mobileTemplate"" class=""_2e4Pi2B""><p><strong>HEW 7, $83,151 - $90,006 per annum plus 17% employer superannuation contribution. This is a full time (36.75 hours per week) ongoing\xa0appointment.</strong></p> <p>\xa0</p> <ul> <li><strong>A challenging and creative opportunity exists for a Data Analyst, working with Research Performance Data that will be used to inform strategy</strong></li></ul><ul> <li><strong>A highly motivated and resourceful team environment</strong></li></ul><ul> <li><strong>Located at our Footscray Park Campus just 10 minutes from the CBD</strong></li></ul> <p>\xa0</p> <p><strong>About the Role</strong></p> <p>The Data Analyst, within Research Services, is responsible for the development and implementation of the University\'s research reporting, benchmarking and performance frameworks and will contribute to the evolution of performance management systems. You will coordinate\xa0the collection and reporting of research management data and provide key insight in a manner that is visual and clearly presents complex information.<br>\xa0</p> <p><strong>About the Person</strong><br>\xa0</p> <p>You will enjoy working in a\xa0team environment, and have excellent organisational skills combined with strong analytical and problem solving expertise. In addition, you will have\xa0experience collating data from disparate data sources and have a thorough understanding of relational databases. You will also be resourceful in the task of applying strong visualisation skills in preparing meaningful reports for research management that will enable strategic decision making.</p> <p>\xa0</p> <p><strong>Duties</strong></p> <p>Duties will include:</p> <ul> <li>Designing, developing, analysing and reviewing reports, metrics and data sets to support research performance monitoring for the University.</li> <li>Overseeing and maintaining the University’s individual research performance measurement system including provision of advice and guidance to academic staff.</li> <li>Overseeing the annual research publications collection using VU Elements or other University collection systems, and ensuring\xa0this is enabled through other related processes.</li> <li>Supporting submissions to national assessment frameworks including ERA, EI, HERDC etc.</li></ul> <p>\xa0</p> <p><strong>Benefits</strong></p> <ul> <li>Salary sacrifice options</li> <li>Professional development opportunities</li> <li>Flexible working arrangements available</li> <li>Paid study leave</li> <li>On-site gym, and more!</li></ul> <p>\xa0</p> <p><strong>How to apply</strong><br>\xa0</p> <p>For a Position Description and to submit an application please visit our website\xa0<a href=""http://www.vu.edu.au/jobs"" target=""_blank"">www.vu.edu.au/jobs</a></p> <p><strong>Applications must be submitted as a single document comprising;</strong></p> <ul> <li>A cover letter</li> <li>Your CV</li> <li>Your responses to the selection criteria listed in the Position Description</li></ul> <p>\xa0</p> <p><strong>Please Note:\xa0 Applications which do not address the selection criteria will not be considered</strong></p></div>']"
['Data Wrangling Expert/Asset Performance Analyst'],['Peak Services'],['Melbourne'],[],"['<div data-automation=""mobileTemplate"" class=""_2e4Pi2B""><p><strong>The Organisation</strong></p>  <p>Asset analytics supplies the leading indicators that tell an organisation when an asset is likely to fail in the future, and on what schedule that asset should be evaluated for maintenance or replacement. Comprehensive asset analytics also takes into account the entire performance and lifecycle cost of the assets, how they are networked and their value to the company. Today, asset performance analytics is becoming more important as a way to provide a holistic, predictive approach to asset maintenance and performance. Historically ‘maintenance’ has often been viewed as a cost, when in fact it is an investment to “preserve” the function of plant and equipment.</p>  <p>Importantly, this organisation is focussed on taking ‘Managing Assets’ to a system and culture of true ‘Asset Management’ and your ability as a Data Scientist/Asset Performance Analyst will be showcased and allow you a career trajectory where you are using extensive data to analyse the performance of their assets and in being a part of reshaping how this organisation deliver services to maximise value.</p>  <p><strong>The Role</strong></p>  <p>This is a newly created role and a position where you will see the difference your superior data analysing abilities can impact the bottom line and improve life across this large community.\xa0As a data wrangling expert you are probably used to working with random data.\xa0 If this is the case, you will feel valued see the genuine impact of your work in this role. Your skills in data analytics will lead to improved processes and to driving continuous improvement across Water and Wastewater assets, Civil/Transport, Open Space and Stormwater assets. Learning about these assets and identifying how to fix things efficiently will be underpinned by your ability to pull patterns out of data across the asset portfolio and translate these into tangible solutions.</p>  <p>Your goal is to reduce vast and disparate data sets into categorised and useful summaries and reports to improve maintenance efficiency across the asset portfolio and support overall business and customer outcomes.</p>  <p><strong>About You</strong></p>  <p>As with all niche roles, we are seeking a specific combination of qualifications and experience including ideally:</p> <ul> <li>Tertiary qualifications in Engineering, Science or IT that underpin your industry leading proficiency in data science or a related field.</li> <li>Extensive experience capturing end user requirements and using data science to solve complex challenges, including data linkage and modelling</li> <li>Superior communication skills, including the ability to work effectively with and convey highly complex information to non-technical people across the business.</li> <li>the desire to relocate - all details via the link when you click apply</li></ul> <p>In the role of Asset Performance Analyst, you will contribute to important analytics and modelling projects that will support evidence-based decision making, driving positive outcomes for the people of this region.</p>  <p>A salary of up to $100K + 12% Super + 5 weeks Annual Leave with 17.5% Loading and a 9-day fortnight together with generous relocation assistance is on offer for the successful candidate. Future Learning and Development opportunities are supported together with reimbursement of some professional registration fees.</p>  <p>For a confidential conversation, please call\xa0Rona Horsfall on <a class=""_2ZKuACf"" data-contact-match=""true"" href=""tel:0438%20943854"">0438 943854</a> at Peak Services Recruitment.</p>  <p>A position description and details on how to apply can be found if you put the following link into your browser https://lgaqld.applynow.net.au/jobs/PEAK97 or click apply and you will be taken there directly.</p></div>']"
['Data Scientist / Data Analyst'],['Randstad - Technologies'],['Melbourne'],[],"['<div data-automation=""mobileTemplate"" class=""_2e4Pi2B""><p></p><div>This leading FMCG company requires the services of someone with a data scientist / data analyst background to work in a strategic pricing role.<br><br><strong>The purpose of the role: </strong></div><div>Support the pricing strategy to develop optimal price and promotional strategies for the FMCG category</div><div> </div><div><strong>Key Responsibilities &amp; requirement</strong><br>• Development and implementation of Price and promotional tools, models and software<br>• Develop pricing dashboards using Power BI from internal financial and market pricing information<br>• Apply statistical analytics to help solve price and volume trade-off decisions using advanced analytics tools e.g. R Studio or Python<br>• Data management of price information in SQL database<br>• Manage price increase process - Delivering sustainable price realisation performance while still supporting other levers of EBIT (Volume, Share, Revenue)<br>• Incorporate brand vision, current market dynamics &amp; competitor activity into a robust &amp; consistent pricing strategy<br>• Identify risks &amp; opportunities on trade spend efficiency with a particular focus on embedding an ROI culture<br><br><strong>To be considered you:</strong></div><div><ul><li>Must have capability in some of the following software packages: R Studio, Python, Power BI, SQL</li></ul><br>If this sounds like the role for you please click the apply now button.</div><div> </div><div> </div><p>At Randstad, we are passionate about providing equal employment opportunities and embracing diversity to the benefit of all. We actively encourage applications from any background.</p></div>']"
['Data Analyst'],['NAB'],['Melbourne'],[],"['<div data-automation=""mobileTemplate"" class=""_2e4Pi2B""><ul>\n<li>Are you a high performer looking to take the next step in your career?</li>\n<li>Opportunity to bring your experience data analysis and data analytic tools</li>\n<li>Contribute to advancing the use of analytics to deliver assurance across the enterprise</li>\n</ul>\n<p><strong>About the role </strong></p>\n<p>An exciting permanent opportunity has arisen for a Data Analyst in Internal Audit to support the Audit team by performing data extraction, transformation and analysis to deliver insights on key risks and provide assurance to a wide range of stakeholders across the enterprise.</p>\n<p>\xa0<strong>Accountabilities</strong></p>\n<p>Your day to day responsibilities will include (but not be limited to):-</p>\n<ul>\n<li>Support Audit leads and managers to provide insights and recommendations on audit matters to minimise risk and uplift business performance</li>\n<li>Contribute to requirements gathering and design of analytical solutions.</li>\n<li>Take accountability for sourcing, extracting and transforming data to meet the needs of audit requirements</li>\n<li>Work with the Audit team to draw conclusions from the analysis</li>\n<li>Collaborate with the broader Data Analytics team to ensure training and business requirements are met</li>\n<li>Take accountability for ensuring the data analysis is completed on time, within budget, to agreed standards and ensure all issues and obstacles are managed appropriately</li>\n<li>Proactively monitoring risk and assurance requirements</li>\n<li>Demonstrate ongoing commitment to continuous improvement of processes</li>\n</ul>\n<p><strong>Skills &amp; experience </strong></p>\n<p>To succeed in this role, you must be able to work in a fast-paced, and at times ambiguous and complex environment, and have:</p>\n<ul>\n<li>Prior experience in Data Analytics role is essential</li>\n<li>Ability to work with large sets of data from various data sources, conducting deep dives to identify trends and provide insights using your expertise in data extraction and analysis</li>\n<li>Demonstrated ability with SQL, or similar, query language for data preparation and transformation purposes</li>\n<li>Knowledge of Python and/or R desirable</li>\n<li>Demonstrated ability with Tableau or a similar data visualisation tool</li>\n<li>Strong stakeholder engagement skills</li>\n<li>Ability to engage and communicate technical ideas to a non-technical audience</li>\n<li>Experience working in a risk or audit environment desirable</li>\n</ul>\n<p><strong>Benefits </strong></p>\n<p>At NAB, we provide access to a large number of exclusive employee benefits that will support you both personally and professionally. These include volunteer leave, education and learning benefits and banking &amp; financial services discounts for example. Visit our benefits page for more information <a href=""http://www.nab.com.au/about-us/careers/working-at-nab/benefits"" target=""_blank""><strong><em>http://www.nab.com.au/about-us/careers/working-at-nab/benefits</em></strong></a></p>\n<p><strong>How to apply </strong></p>\n<p>If you are ready to take the next step in your career, we are keen to hear from you!</p>\n<p>Please note, candidate screening and interviews may take place prior to the advertised close date.</p>\n<p>To be eligible to apply, you must have Australian or New Zealand citizenship or permanent residency status. Please apply via the link.</p>\n<p>If you are looking for a role that will give you excellent exposure across the business and allow you to utilise your existing knowledge and skills in a new environment, then this role in the NAB audit division is the opportunity for you!</p></div>']"
['Assistant Data Officer (Topographic)'],"['Department of Environment, Land, Water and Planning VIC']",['Melbourne'],"['$67,866 - $82,404 + superannuation']","['<div data-automation=""mobileTemplate"" class=""_2e4Pi2B""><p><em>We are building an inclusive workplace to help realise the potential of our employees, embrace our differences, and apply our diverse thinking to innovation and delivering services to Victorian communities. All jobs can be worked flexibly and we encourage job applications from Aboriginal people, people with disabilities, young people and people from culturally diverse backgrounds. </em></p>\n<p>The Assistant Data Officer (Topographic) is responsible for the creation of digital and hard copy mapping products, performing quality assurance on the topographic maps to ensure that all outputs meet mapping specifications and assist in Laverton store activities; including georeferencing historic data, storage and delivery of topographic maps.</p>\n<p>The successful candidate must have a strong understanding of the process used to produce topographic mapping products. Completion of relevant tertiary and/or industry qualifications as well as 3 to 5 years\' experience in managing spatial data is highly desirable.</p>\n<p><em>This is a fixed term position available for 24 months.</em></p>\n<p>To be considered for this position, your application should include a supporting statement demonstrating that you meet the key selection criteria and any job requirements specified in the position description.\xa0</p>\n<p><strong>Applications close at midnight Wednesday, 22 May 2019.</strong></p></div>']"
['Analyst Chapter Lead (Cloud and Big Data)'],['ANZ'],['Melbourne'],[],"['<div data-automation=""mobileTemplate"" class=""_2e4Pi2B""><strong>Role Title</strong><br>Analyst Chapter Lead - Data Services Customer - Data Services<br><strong>\xa0</strong><br><strong>Role Overview</strong><br><strong>Data Services</strong><br>Data Services deliver enterprise solutions that make the right data accessible to our people and customers through tools and channels to drive faster and more informed decision making, removing friction and ultimately delivering a world class customer experience.<br>\xa0<br><strong>Data Services Customer</strong><br>As an Analyst Chapter Lead, you will be part of the Data Services Customer Tribe within Data Services Domain.<br>The main focus of our Tribe is to create a system of people, process and technology (on premise and cloud), built for agility, to provide data and capabilities for our customer facing business areas (Retail, Small Business and Institutional) to create business and customer value, by being in the moment with our customers.<br>\xa0<br>You will be part of a fantastic team that will engineer, design, build, test and support applications for Cloud Data Platforms. You will work closely with squad members to ensure outcomes meet customer expectations.<br>\xa0<br><strong>What does a \'day in the life\' look like</strong><br><ul><li> Partners with Product Owner to validate requirements and priority ensuring alignment to value. <br></li> <li> Works collaborately with the Product Owner, Engineers and other people in the Squad to translate business requirements into workable technology outcomes with clear acceptance criteria for the Squad.<br></li> <li> Ensures work is flowing via front door ensuring consistent demand management process. Optimises workflow management to ensure traceability back to strategic alignment <br></li> <li> Leverages tools for optimal collaboration and knowledge sharing <br></li> <li> Implements a culture within the Tribe and the Chapter, encouraging best practices around reviews, quality and documentation <br></li> <li> Identifies opportunities for continuous improvement and implement solutions to perform more effective and efficient analysis <br></li> <li> Provides ongoing support for the platform as required e.g. problem / incident management <br></li> <li> Verifies acceptance criteria is met.<br></li> <li> Verifies and validates what is in production (especially after changes) <br></li> <li> Contributes to Analysis communities, meetups and conferences to promote technology development culture and practices<br></li> <li> May create, understand and monitor application metrics<br></li> <li> Creates and promotes the new culture and supports personal development <br></li> <li> Responsible for the personal development and performance reviews of Chapter members, based on input from Product Owners and Squad members <br></li> <li> Coaching and development planning on topic expertise and personal development by promoting a continuous development culture <br></li> <li> Recognises and develops top-talent and proactively manages under-performance<br></li></ul>\xa0<br>\xa0<br><strong>What will be in your toolkit</strong><br><ul><li> You have a good understanding of interconnections between complex systems, large scale web architectures and have general knowledge of agile software development concepts and processes.<br></li> <li> Ideally, you have 7 yrs of experience, of which 2 has been in a role leveraging GCP, AWS or Azure.<br></li> <li> Expertise in usage of Jira/Confluence. Ability to create Features/Epics/Stories with appropriate workflows.<br></li> <li> Deep domain and system (GCP and banking) knowledge to turn customer needs into business requirements and workable technology outcomes <br></li> <li> Experience in translating requirements into user stories and acceptance criteria <br></li> <li> Strong communication and presentation skills <br></li> <li> You have strong analytical skills with the ability to collect, organize, analyse and report on significant amounts of information. Attention to detail is a must for this role.<br></li> <li> A desire to continuously learn new techniques / technologies and bring innovative ideas into the Squad <br></li> <li> Proven people management/leadership experience is essential.<br>\xa0<br></li></ul><strong>\xa0</strong><br><strong>\xa0</strong><br><strong>\xa0</strong><br><strong>About ANZ</strong><br>At ANZ, everything we do boils down to ‘why’ – our purpose – to shape a world where people and communities thrive. We\'re just as focused on seeing our people thrive as well as our customers. We\'ll give you every opportunity to develop your career.<br>We are responding faster to changing customer requirements, focusing on the things that matter the most, energising our people, eliminating waste and reducing bureaucracy.<br>ANZ has started to move to a new way of working, leveraging agile practices. To understand more about this new way of working and if this role is right for you, we strongly encourage you to take a look at <strong>The ANZ Way vimeo channel</strong> where you’ll find ‘The ANZ Way’ animation and the ‘New Ways of Working’ animation.<br>\xa0<br>At ANZ we aim to create an inclusive environment where employee differences such as gender, age, culture, disability, sexual orientation, family and caring responsibilities and religion are valued.<br>\xa0<br>\xa0<br><strong>We work flexibly at ANZ. Talk to us and let us know how this role can be flexible for you.</strong><br><strong></strong>\xa0<br><strong>#GD4.2</strong><br>\n\n</div>']"
['Data Scientist/Data Analyst'],['Energy Australia'],['Melbourne'],[],"['<div data-automation=""mobileTemplate"" class=""_2e4Pi2B""><ul>\n<li>Join one of the largest energy organisations in Australia</li>\n<li>Great team culture, friendly and supportive environment</li>\n<li>Perfect CBD location and close to public transport</li>\n</ul>\n<p>EnergyAustralia is one of Australia\'s largest energy companies providing smart, innovative energy solutions for our customers. We\'re in an exciting transformation and are committed to becoming a world-class organisation with the customer at the heart of everything we do.</p>\n<p>Our Finance, Finance Control team Provide the financial stewardship, control, risk management and insights into business performance.</p>\n<p><strong>About the role</strong></p>\n<p>In the role of Data Scientist your primary objectives are to lead initiatives from identification to resolution stage and prevent revenue leakage, reduce cost, increase revenue and minimise loss.\xa0</p>\n<p><strong>You will be responsible for;</strong></p>\n<ul>\n<li>Leading improvements in systems and processes that provide material benefit to business performance across the revenue management chain at EnergyAustralia</li>\n<li>Data modelling, data mining, generating reports, analysis and making recommendations</li>\n<li>Mission critical controls by RA across the coverage model at EnergyAustralia</li>\n<li>Product Reviews to ensure revenue and cost are optimised for product launches and defects known and reported at executive level</li>\n<li>Support future development and implementation of Assurance technology, systems and integration</li>\n</ul>\n<p><strong>What we are looking for:</strong></p>\n<ul>\n<li>Demonstrated Data Science and developer expertise in Revenue Assurance in a large and complex organisation</li>\n<li>Experience in data mining, data modelling and machine learning (essential)</li>\n<li>Intermediate/Advance Oracle SQL and ODI, R and/or SAS (essential)</li>\n<li>Strong data analytics skills (essential)</li>\n<li>Intermediate/Advance MS office, Excel, SQL Link Server, Tableau, Power BI</li>\n<li>Exceptional communication and stakeholder engagement skills</li>\n<li>Self-motivated, quick learner and enjoys working in busy and dynamic environment</li>\n<li>Degree in business, finance, computer science or other relevant tertiary qualification or equivalent experience</li>\n</ul>\n<p><strong>Interested?</strong></p>\n<p>If you share our passion for making customers a priority, doing the right thing, leading change and want to be part of an organisation focused on making a positive impact, click the \'Apply"" button to submit your application.</p>\n<p>For a full job description please visit our careers page on our website at www.energyaustralia.com.au</p>\n<p><em>*Please notes internally we call this role Revenue Assurance Specialist</em></p>\n<p>Any queries not on this advertisement please contact Tania Quach on <a class=""Ne1m3o8"" data-contact-match=""true"" href=""mailto:tania.quach@energyaustralia.com.au"">tania.quach@energyaustralia.com.au</a></p>\n<p><em>Please ensure your application is submitted online and not via the email on this advertisement as there is an application form to be filled out as part of the recruitment process. </em></p>\n<p>Application will close on 21st May\xa02019.</p></div>']"
['Associate/Junior Data and BI Consultant'],['RXP Services'],['Melbourne'],['$80-100k package'],"['<div data-automation=""mobileTemplate"" class=""_2e4Pi2B"">Hi, we are RXP Group (ASX: RXP). As a Digital Services Partner, we fuse brand, insight, design and technology to help clients transform and innovate. With over 700 specialist consultants across 5 offices and 7 practices in the Asia Pacific region, we use agile ways of working and modern tools to deliver value at speed.<br> \xa0\xa0<br> <strong>An opportunity that you\'re really excited by</strong><br> <br> RXP are looking for their next generation of Associate Data and BI Consultants to joing the Insight practice in Melbourne. This is a multi-disciplined data practice, encompassing analytics, visualisation, information management and integration.<br>\xa0\xa0<br>Joining our Insight VIC Practice will allow you to be part of an amazing national\xa0community of like-minded data people whilst working on projects that add value to your skills and capabilities.<br>\xa0\xa0<br><strong>A position suited to your skills and experience</strong><br>\xa0\xa0<br>Key Skills &amp; Experience:<br> <ul> <li>Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy</li> <li>Familiarity with Data Management processes - Data Quality, Data Governance, ETL, MDM</li> <li>Ability to identify, analyze, interpret trends or patterns in complex data sets</li> <li>Strong knowledge of and experience with Excel</li> <li>Adept at writing SQL queries (PL SQL is a bonus)</li> <li>Demonstrable experience with the MSBI stack (SSIS/SSRS/SSAS) or Informatica</li> <li>Demonstrable experience with data visualisation tools (Informatica, Qlikview, Tableau and/or BIRST, PowerBI, Alteryx)</li> <li>Strong verbal and written communication skills</li> <li>Local\xa0 consulting experience and relevant work rights are essential</li> </ul> <br> <strong>Making Happier Humans is our mission for Australian Businesses, including our own</strong><br> <br> Our people are insightful and intelligent industry leaders who are passionate about contributing to our clients’ digital futures. Through expression, experience and enablement we bring together elements of design and Agile delivery to deliver complex digital transformations through to the smallest start up project. <br> <br> We are a workplace culture that encourages your career and celebrates who you are at and outside of work. If you like the sound of us, then learn more about joining us by visiting\xa0http://rxpservices.com/careers<br> <br><em>Note: To be eligible to apply for this position, you must have existing Australian work rights. The shortlisted candidate/s may be required to undergo a Criminal History Background/Police/Qualifications Check at the later stages of the recruitment process.</em></div>']"
