Title,Company,Location,Description,total_pay,Simple_Title,Job_Level
lead data architect,me,melbourne,"div data-automation=""mobiletemplate"" class=""_2e4pi2b""><p><strong>let’s talk about me</strong><br><br>we’re not like other banks.</p> <p>me was created by the industry super funds to be different from the pack \xad– and we’re passionate about staying that way as we head into an exciting and progressive future.</p> <p>we are building a bank, a company and a brand that we can be proud of – but to achieve that, we need the best people. to help me get there, you’ll challenge the status quo and share extraordinary ideas – and our size guarantees you’ll have the opportunity, support, and environment to be heard.</p> <p>me’s core purpose is helping all australians get ahead – no conditions, asterisks or exceptions.</p> <p>we believe everyone deserves the same opportunities in life, regardless of gender or identity, sexuality, ethnicity, disability or religion. this is why we’re so committed to an equal opportunity workplace\xa0– because we know our success won’t come from focusing on similarities, but by embracing and celebrating our diversity.</p> <p>\xa0</p> <p><strong>let’s talk about the job:</strong></p> <p>as the lead data architect, you will serve a key leadership role within me’s enterprise data function, with responsibility for data architecture and design.</p> <p>the purpose of the role is to lead a team of experts to ensure data assets are designed well, captured for quality, stored for efficiency, documented for ease of use and delivered reliably, to ensure data remains harmonised across its ecosystem to deliver multiple benefits for our business.</p> <p>reporting to the general manager, you will oversee bank-wide data architecture and data modelling practices, emphasising the creation of re-useable data assets and appropriate metadata.</p> <p>you will be responsible for leading and quality assuring data mapping activities and outputs to support etl development and data migrations, and specifically develop business (conceptual) and logical data mappings required for me’s data integration environments.</p> <p>engendering strong working relationships with business and technology stakeholders, you will foster a strong data community between various business lines, acting as a driving force and strong advocate of the data strategy at australia’s fastest growing bank.</p> <p><br><strong>let\'s talk about you:</strong></p> <p>you have extensive experience working in enterprise data platforms with advanced skills utilising data modelling practices.</p> <p>you have considerable functional and design experience across the data, analytics and decision systems domains both from a technology, process and business outcomes. \xa0you empower your team to utilise emerging technologies to build out infrastructure that can be utilised and leveraged across the organisation. additionally, you have the innate ability to see the ‘bigger picture’ around aligning reporting requirements to business outcomes.</p> <p>a problem solver and strong communicator, you have the gravitas to build relationships and influence cross functionally which will see you drive positive engagement in me’s data culture.</p> <p>experience in agile project management methodology will be highly regarded.<br>\xa0</p> <p><strong>about the perks</strong></p> <p>at me, we believe that work should be a place that you can make the most of – and these are just some of the many reasons why people love it here:</p> <ul> <li>popular culture – that’s not a claim, we’ve got the data to prove it. we genuinely care about each other and work in an encouraging and collaborative environment.</li> <li>the whole package – sure, we’re going to reward you well with your salary package – but there are also lots of other perks – including free health support, conveniently-located offices, plus much more.</li> <li>not afraid to fail? we embrace action-oriented people like you. that’s right, you can make mistakes here and it’s ok – so long as you learn from them.</li> <li>to be me, we need you\xa0– we’re building something really cool and you get to directly influence what that is.</li> <li>proudlyme – our internal pride network – has a swag of initiatives that show support, education, and passion toward our team and customers, demonstrating that me is a strong advocate on equal rights for the lgbtiq+ community.</li> <li>meet the execs – our executive team is fun and full of passion because we know great managers mean happy staff.</li></ul> <p>oh, and did we mention you get your very own me branded converse high-top shoes? now that’s a reason to get your foot in the door.<br>\xa0</p> <p><strong>i was born to play this role</strong></p> <p>can’t see a closing date on the advert? that’s because we’re pretty efficient here at me and we may start looking at applications sooner rather than later, so if this role sounds like your jam, be sure to apply today.</p> <p>\xa0</p> <p><em>should an applicant be the preferred candidate, background checks (including police checks, reference checks, asic banned and disqualified persons and bankruptcy checks) will be completed prior to the candidate\'s employment being confirmed. the outcomes of the background checks do not automatically bar candidates; however will be assessed against the inherent requirements of the job.</em></p></div",159750.0,Other,Middle
data wrangling expert/asset performance analyst,peak services,melbourne,"div data-automation=""mobiletemplate"" class=""_2e4pi2b""><p><strong>the organisation</strong></p>  <p>asset analytics supplies the leading indicators that tell an organisation when an asset is likely to fail in the future, and on what schedule that asset should be evaluated for maintenance or replacement. comprehensive asset analytics also takes into account the entire performance and lifecycle cost of the assets, how they are networked and their value to the company. today, asset performance analytics is becoming more important as a way to provide a holistic, predictive approach to asset maintenance and performance. historically ‘maintenance’ has often been viewed as a cost, when in fact it is an investment to “preserve” the function of plant and equipment.</p>  <p>importantly, this organisation is focussed on taking ‘managing assets’ to a system and culture of true ‘asset management’ and your ability as a data scientist/asset performance analyst will be showcased and allow you a career trajectory where you are using extensive data to analyse the performance of their assets and in being a part of reshaping how this organisation deliver services to maximise value.</p>  <p><strong>the role</strong></p>  <p>this is a newly created role and a position where you will see the difference your superior data analysing abilities can impact the bottom line and improve life across this large community.\xa0as a data wrangling expert you are probably used to working with random data.\xa0 if this is the case, you will feel valued see the genuine impact of your work in this role. your skills in data analytics will lead to improved processes and to driving continuous improvement across water and wastewater assets, civil/transport, open space and stormwater assets. learning about these assets and identifying how to fix things efficiently will be underpinned by your ability to pull patterns out of data across the asset portfolio and translate these into tangible solutions.</p>  <p>your goal is to reduce vast and disparate data sets into categorised and useful summaries and reports to improve maintenance efficiency across the asset portfolio and support overall business and customer outcomes.</p>  <p><strong>about you</strong></p>  <p>as with all niche roles, we are seeking a specific combination of qualifications and experience including ideally:</p> <ul> <li>tertiary qualifications in engineering, science or it that underpin your industry leading proficiency in data science or a related field.</li> <li>extensive experience capturing end user requirements and using data science to solve complex challenges, including data linkage and modelling</li> <li>superior communication skills, including the ability to work effectively with and convey highly complex information to non-technical people across the business.</li> <li>the desire to relocate - all details via the link when you click apply</li></ul> <p>in the role of asset performance analyst, you will contribute to important analytics and modelling projects that will support evidence-based decision making, driving positive outcomes for the people of this region.</p>  <p>a salary of up to $100k + 12% super + 5 weeks annual leave with 17.5% loading and a 9-day fortnight together with generous relocation assistance is on offer for the successful candidate. future learning and development opportunities are supported together with reimbursement of some professional registration fees.</p>  <p>for a confidential conversation, please call\xa0rona horsfall on <a class=""_2zkuacf"" data-contact-match=""true"" href=""tel:0438%20943854"">0438 943854</a> at peak services recruitment.</p>  <p>a position description and details on how to apply can be found if you put the following link into your browser https://lgaqld.applynow.net.au/jobs/peak97 or click apply and you will be taken there directly.</p></div",201500.0,Analyst,Middle
data scientist / data analyst,randstad - technologies,melbourne,"div data-automation=""mobiletemplate"" class=""_2e4pi2b""><p></p><div>this leading fmcg company requires the services of someone with a data scientist / data analyst background to work in a strategic pricing role.<br><br><strong>the purpose of the role: </strong></div><div>support the pricing strategy to develop optimal price and promotional strategies for the fmcg category</div><div> </div><div><strong>key responsibilities &amp; requirement</strong><br>• development and implementation of price and promotional tools, models and software<br>• develop pricing dashboards using power bi from internal financial and market pricing information<br>• apply statistical analytics to help solve price and volume trade-off decisions using advanced analytics tools e.g. r studio or python<br>• data management of price information in sql database<br>• manage price increase process - delivering sustainable price realisation performance while still supporting other levers of ebit (volume, share, revenue)<br>• incorporate brand vision, current market dynamics &amp; competitor activity into a robust &amp; consistent pricing strategy<br>• identify risks &amp; opportunities on trade spend efficiency with a particular focus on embedding an roi culture<br><br><strong>to be considered you:</strong></div><div><ul><li>must have capability in some of the following software packages: r studio, python, power bi, sql</li></ul><br>if this sounds like the role for you please click the apply now button.</div><div> </div><div> </div><p>at randstad, we are passionate about providing equal employment opportunities and embracing diversity to the benefit of all. we actively encourage applications from any background.</p></div",201500.0,Analyst,Middle
data analyst,nab,melbourne,"div data-automation=""mobiletemplate"" class=""_2e4pi2b""><ul>\n<li>are you a high performer looking to take the next step in your career?</li>\n<li>opportunity to bring your experience data analysis and data analytic tools</li>\n<li>contribute to advancing the use of analytics to deliver assurance across the enterprise</li>\n</ul>\n<p><strong>about the role </strong></p>\n<p>an exciting permanent opportunity has arisen for a data analyst in internal audit to support the audit team by performing data extraction, transformation and analysis to deliver insights on key risks and provide assurance to a wide range of stakeholders across the enterprise.</p>\n<p>\xa0<strong>accountabilities</strong></p>\n<p>your day to day responsibilities will include (but not be limited to):-</p>\n<ul>\n<li>support audit leads and managers to provide insights and recommendations on audit matters to minimise risk and uplift business performance</li>\n<li>contribute to requirements gathering and design of analytical solutions.</li>\n<li>take accountability for sourcing, extracting and transforming data to meet the needs of audit requirements</li>\n<li>work with the audit team to draw conclusions from the analysis</li>\n<li>collaborate with the broader data analytics team to ensure training and business requirements are met</li>\n<li>take accountability for ensuring the data analysis is completed on time, within budget, to agreed standards and ensure all issues and obstacles are managed appropriately</li>\n<li>proactively monitoring risk and assurance requirements</li>\n<li>demonstrate ongoing commitment to continuous improvement of processes</li>\n</ul>\n<p><strong>skills &amp; experience </strong></p>\n<p>to succeed in this role, you must be able to work in a fast-paced, and at times ambiguous and complex environment, and have:</p>\n<ul>\n<li>prior experience in data analytics role is essential</li>\n<li>ability to work with large sets of data from various data sources, conducting deep dives to identify trends and provide insights using your expertise in data extraction and analysis</li>\n<li>demonstrated ability with sql, or similar, query language for data preparation and transformation purposes</li>\n<li>knowledge of python and/or r desirable</li>\n<li>demonstrated ability with tableau or a similar data visualisation tool</li>\n<li>strong stakeholder engagement skills</li>\n<li>ability to engage and communicate technical ideas to a non-technical audience</li>\n<li>experience working in a risk or audit environment desirable</li>\n</ul>\n<p><strong>benefits </strong></p>\n<p>at nab, we provide access to a large number of exclusive employee benefits that will support you both personally and professionally. these include volunteer leave, education and learning benefits and banking &amp; financial services discounts for example. visit our benefits page for more information <a href=""http://www.nab.com.au/about-us/careers/working-at-nab/benefits"" target=""_blank""><strong><em>http://www.nab.com.au/about-us/careers/working-at-nab/benefits</em></strong></a></p>\n<p><strong>how to apply </strong></p>\n<p>if you are ready to take the next step in your career, we are keen to hear from you!</p>\n<p>please note, candidate screening and interviews may take place prior to the advertised close date.</p>\n<p>to be eligible to apply, you must have australian or new zealand citizenship or permanent residency status. please apply via the link.</p>\n<p>if you are looking for a role that will give you excellent exposure across the business and allow you to utilise your existing knowledge and skills in a new environment, then this role in the nab audit division is the opportunity for you!</p></div",201500.0,Analyst,Middle
analyst chapter lead (cloud and big data,anz,melbourne,"div data-automation=""mobiletemplate"" class=""_2e4pi2b""><strong>role title</strong><br>analyst chapter lead - data services customer - data services<br><strong>\xa0</strong><br><strong>role overview</strong><br><strong>data services</strong><br>data services deliver enterprise solutions that make the right data accessible to our people and customers through tools and channels to drive faster and more informed decision making, removing friction and ultimately delivering a world class customer experience.<br>\xa0<br><strong>data services customer</strong><br>as an analyst chapter lead, you will be part of the data services customer tribe within data services domain.<br>the main focus of our tribe is to create a system of people, process and technology (on premise and cloud), built for agility, to provide data and capabilities for our customer facing business areas (retail, small business and institutional) to create business and customer value, by being in the moment with our customers.<br>\xa0<br>you will be part of a fantastic team that will engineer, design, build, test and support applications for cloud data platforms. you will work closely with squad members to ensure outcomes meet customer expectations.<br>\xa0<br><strong>what does a \'day in the life\' look like</strong><br><ul><li> partners with product owner to validate requirements and priority ensuring alignment to value. <br></li> <li> works collaborately with the product owner, engineers and other people in the squad to translate business requirements into workable technology outcomes with clear acceptance criteria for the squad.<br></li> <li> ensures work is flowing via front door ensuring consistent demand management process. optimises workflow management to ensure traceability back to strategic alignment <br></li> <li> leverages tools for optimal collaboration and knowledge sharing <br></li> <li> implements a culture within the tribe and the chapter, encouraging best practices around reviews, quality and documentation <br></li> <li> identifies opportunities for continuous improvement and implement solutions to perform more effective and efficient analysis <br></li> <li> provides ongoing support for the platform as required e.g. problem / incident management <br></li> <li> verifies acceptance criteria is met.<br></li> <li> verifies and validates what is in production (especially after changes) <br></li> <li> contributes to analysis communities, meetups and conferences to promote technology development culture and practices<br></li> <li> may create, understand and monitor application metrics<br></li> <li> creates and promotes the new culture and supports personal development <br></li> <li> responsible for the personal development and performance reviews of chapter members, based on input from product owners and squad members <br></li> <li> coaching and development planning on topic expertise and personal development by promoting a continuous development culture <br></li> <li> recognises and develops top-talent and proactively manages under-performance<br></li></ul>\xa0<br>\xa0<br><strong>what will be in your toolkit</strong><br><ul><li> you have a good understanding of interconnections between complex systems, large scale web architectures and have general knowledge of agile software development concepts and processes.<br></li> <li> ideally, you have 7 yrs of experience, of which 2 has been in a role leveraging gcp, aws or azure.<br></li> <li> expertise in usage of jira/confluence. ability to create features/epics/stories with appropriate workflows.<br></li> <li> deep domain and system (gcp and banking) knowledge to turn customer needs into business requirements and workable technology outcomes <br></li> <li> experience in translating requirements into user stories and acceptance criteria <br></li> <li> strong communication and presentation skills <br></li> <li> you have strong analytical skills with the ability to collect, organize, analyse and report on significant amounts of information. attention to detail is a must for this role.<br></li> <li> a desire to continuously learn new techniques / technologies and bring innovative ideas into the squad <br></li> <li> proven people management/leadership experience is essential.<br>\xa0<br></li></ul><strong>\xa0</strong><br><strong>\xa0</strong><br><strong>\xa0</strong><br><strong>about anz</strong><br>at anz, everything we do boils down to ‘why’ – our purpose – to shape a world where people and communities thrive. we\'re just as focused on seeing our people thrive as well as our customers. we\'ll give you every opportunity to develop your career.<br>we are responding faster to changing customer requirements, focusing on the things that matter the most, energising our people, eliminating waste and reducing bureaucracy.<br>anz has started to move to a new way of working, leveraging agile practices. to understand more about this new way of working and if this role is right for you, we strongly encourage you to take a look at <strong>the anz way vimeo channel</strong> where you’ll find ‘the anz way’ animation and the ‘new ways of working’ animation.<br>\xa0<br>at anz we aim to create an inclusive environment where employee differences such as gender, age, culture, disability, sexual orientation, family and caring responsibilities and religion are valued.<br>\xa0<br>\xa0<br><strong>we work flexibly at anz. talk to us and let us know how this role can be flexible for you.</strong><br><strong></strong>\xa0<br><strong>#gd4.2</strong><br>\n\n</div",201500.0,Analyst,Middle
data analyst,speller international - sap resourcing and recruitment,melbourne,"div data-automation=""mobiletemplate"" class=""_2e4pi2b"">data analyst required for a contract opportunity in melbourne <br> <br> full job description<br> data analyst<br> \xa0\xa0<br> based in melbourne, our asx listed client is looking for a data analysts to join their team for a short engagement.<br> <br> this is a satisfying role where your vast master data experience will come in to their own as you prepare all aspects of master data –. you will be extracting, cleansing, mapping and validating data, amongst other tasks.<br> \xa0\xa0<br> <strong>skills and experience required;</strong><br> \xa0\xa0<br> <ul> <li>extensive master data experience</li> <li>excel guru- pivot tables and vlookup’s are just the beginning……</li> <li>experience with business teams in data preparation (extracting, cleansing, mapping etc...)</li> <li>high attention to detail</li> <li>must love data</li> </ul> \xa0\xa0<br> the ideal candidate will have at least 7 years of manipulating master data in excel. <br> \xa0\xa0<br> \xa0<br> please apply to our melbourne head office on <a class=""_2zkuacf"" data-contact-match=""true"" href=""tel:03%209348%200092"">03 9348 0092</a> or email your cv and details to <a class=""ne1m3o8"" data-contact-match=""true"" href=""mailto:opportunities@spellerinternational.com.au"">opportunities@spellerinternational.com.au</a><br> <br> before you click \'apply now\', please ensure that your contact details are included in your resume and that you only attach ms word format documents.<br> \xa0\xa0<br> speller international - sap recruitment specialists.<br> \xa0\xa0<br> to be eligible to apply for this position you must have an appropriate australian or new zealand work visa.</div",201500.0,Analyst,Middle
data analyst,adaps it,melbourne,"div data-automation=""mobiletemplate"" class=""_2e4pi2b""><p><strong>data analyst</strong><br> <strong>opportunity to work in the aviation industry on perm rolls</strong><br><strong>melbourne cbd</strong><br> <strong>work life balance and great culture</strong></p><p><strong>opportunity to work on exciting new projects in the aviation industry</strong></p><p><br> <br> this global market leader is looking for technically minded professionals who have a natural eye for detail to assure the effective continuous operation of their clients’ major international airports.<br> as part of a dedicated team, you will be responsible for analysing and reporting airport operations and noise impact at major airports around the world, ensuring that our clients meet regulatory compliance requirements, and assist them with presenting their data and information to key stakeholders and the wider community.<br> <br> the key responsibilities include, but are not limited to:</p><ul><li>implement best practice processes to ensure data quality/accuracy and identifying data anomalies</li><li>ability to summarize large datasets and make conclusions and present these findings</li><li>design and implement new client facing reports, with corresponding processes and procedures for verification</li><li>completing complex data analysis packages utilizing multiple datasets, to answer key questions and issues presented by client</li><li>understanding customer reporting outcomes and messaging and transforming these into reporting requirements and outcomes</li></ul><p><br> <br> to be successful in this position you must:</p><ul><li>be a team player;</li></ul><ul><li>have strong attention to detail;</li><li>have strong communication skills;</li><li>have high level computer literacy (excel)</li><li>strong organisation and time management skills</li></ul><p><br> <br> ideally you will possess:</p><ul><li>at least 5 years of experience as a data analyst, with experience in one or more of the following:</li></ul><ul><li>preparing complex data analysis outcomes</li><li>taking customer reporting needs and messages and transforming these into meaningful reporting outcomes</li><li>bi analytics such as power bi</li><li>gis packages and utilizing key datasets for reporting and presentation</li><li>noise modelling with experience in inm and/or aedt</li><li>database skills in sql or similar to extract data</li></ul><ul><li>technically based tertiary qualifications in aviation, noise/acoustics or other related technical area including environmental engineering</li></ul><p><br> <br> you must be an australian citizen to apply for this position<br> your interest will be treated in the strictest of confidence<br> <br> <strong>how to apply:</strong><br> please apply using the link below or contact (<strong>neil - <a class=""_2zkuacf"" data-contact-match=""true"" href=""tel:(03)%208506%206522"">(03) 8506 6522</a> /</strong> ) for further details. applications closes based on the volume of applicants received. only short-listed candidates will be contacted.<br> note: please share your resume in word format only.<br> <br> are you keen to know about more jobs to apply with us? there are plenty of opportunities awaiting you at adaps.com.au/job/<br> (you need to be a citizen of australia or new zealand or hold a permanent residency visa to apply)<br> <br> <strong>connect with adaps:</strong><br> website: www.adaps.com.au</p></div",201500.0,Analyst,Middle
data reporting analyst - telco - immediate start,aspirante,melbourne,"div data-automation=""mobiletemplate"" class=""_2e4pi2b"">our client is looking for an experienced data reporting analyst who has working in the telecommunications field and understands network monitoring and can extract data to create reports and dashboards for client side reporting. <br><br>this role is an initial 3 month contract with a likely 6 month extension and requires someone who can start immediately. <br><br>key requirements: <br>- analyse reporting requirements by effectively translating contractual requirements and scope of work into technical and functional requirements. <br>- identify the impact of each report on different sub-systems <br>- write and analyse sql queries and advise on database structure to enable sub-systems to implement reports. <br>- documenting the flow of information between sub<br>-systems and ensure all of them are aligned to achieve the reporting outcome - knowledge and understanding of monitoring systems (in general oss/bss) is desirable <br>- validate entity relationships and hierarchy of data elements. <br>- knowledge of analysing, defining and interpreting statistical data. <br>- knowledge of telecommunications (particularly terminology and processes) <br><br>desirable: <br>- knowledge of business intelligence tools. <br><br>for more information please apply and i will contact you immediately to discuss your suitability.</div",201500.0,Analyst,Middle
conservation data officer,bush heritage australia,melbourne,"div data-automation=""mobiletemplate"" class=""_2e4pi2b""><p><strong>conservation data officer</strong></p> <ul> <li>fantastic opportunity to work within a leading conservation organisation \xa0 \xa0</li> <li>excellent location in our melbourne cbd office</li> <li>full time permanent position</li></ul> <p>bush heritage an independent not-for-profit that buys and manages land, and partners with aboriginal people, to protect our irreplaceable landscapes and magnificent native species, forever.</p> <p>our vision of <em><strong>healthy country protected forever </strong></em>sees us work where we’re needed most: in areas of high conservation value with low levels of protection. with the help of our donors, we protect and help manage more than 8 million hectares, providing habitat for almost 6000 native species, including at least 239 threatened species. \xa0</p> <p>as a science-based conservation organisation, the integrity of our scientific and land management data is critical to inform our adaptive conservation management process (derived from the open standards for the practice of conservation), underpin management decision-making and communicate our impact.</p> <p>the conservation data officer will be responsible for ensuring bush heritage’s science &amp; conservation data integrity. \xa0the role will ensure our data needs are well defined, structured, accurate, comprehensive and able to be analysed and reported with ease and increasing automation. \xa0the role will champion data standards through development of appropriate processes, supporting system development and provide training and support for staff.</p> <p><strong>essential skills</strong></p> <ul> <li>relevant tertiary qualification in science, ecology or equivalent discipline with a demonstrated understanding of field-based data collection.</li> <li>strong numerical and analytical skills, including a high level of expertise in managing, manipulating and presenting data.</li> <li>strong computer literacy and proficiency with advanced ms excel skills and demonstrated understanding of relevant conservation &amp; science data management systems.</li> <li>excellent interpersonal skills and demonstrated success in training and supporting a diverse range of people in relevant data management processes.</li> <li>ability to effectively manage multiple priorities with a strong attention to detail.</li> <li>strong knowledge of relevant science &amp; conservation data management processes and demonstrated ability to learn and pick-up new technologies.</li> <li>experience or demonstrated understanding of opens standards for the practice of conservation and miradi, arcgis, field data tools such as fulcrum, statistical analysis tools such as ‘r’ and reporting platforms such as microsoft powerbi.</li></ul> <p>if you are you ready to take on this fantastic challenge and can work with a high-level of autonomy, then apply now and</p> <ul> <li>explain to us in a cover letter explain to us why your skills match this role</li> <li>email your cover letter, and your resume to <a class=""ne1m3o8"" data-contact-match=""true"" href=""mailto:employment@bushheritage.org.au"">employment@bushheritage.org.au</a> quoting job id: cdo_2019</li></ul> <p>if you require further information about the role see the position description on our website here: <strong><em>https://www.bushheritage.org.au/who-we-are/about/employment/conservation-data-officer\xa0</em></strong><br>\xa0</p></div",159750.0,Other,Middle
environmental land audit data officer ,hays engineering,melbourne,"div data-automation=""mobiletemplate"" class=""_2e4pi2b""><p>a government department is seeking an environmental land audit data officer to join the team for 1 month.<br> <br> <strong>your new company</strong><br> a large government department located in melbourne cbd are seeking an environmental land audit data officer for an initial 3-4 week assignment commencing at the end of may<br> <br> <strong>your new role</strong><br> reporting to and working with the manager, you will be tasked with overseeing the extraction of specific engineering data from land audit information databases, including hydrogeological, landfill and waste audits. you will prepare reports of your findings using excel spreadsheets and work with the wider team on similar land audit projects.<br> <br> <strong>what you\'ll need to succeed</strong><br> you must have tertiary qualifications in environmental engineering in melbourne, strong ability to recognise engineering data and lithology, and how they are structured in an audit document, strong communication skills and excellent time management. recent experience working in a similar entry level/graduate environmental role within a melbourne consultancy or government department will be well regarded.<br> <br> <strong>what you\'ll get in return</strong><br> the opportunity to work with an employer of choice within the victorian public sector, demonstrate your academic knowledge in an applied context in a supportive, professional environment.<br> <br> <strong>what you need to do now</strong><br> if you\'re interested in this role, click \'apply now\' or forward an up-to-date copy of your cv to <a class=""ne1m3o8"" data-contact-match=""true"" href=""mailto:lydia.takla@hays.com.au"">lydia.takla@hays.com.au</a><br> if this job isn\'t quite right for you but you are looking for a new position, please contact us for a confidential discussion on your career.</p></div",159750.0,Other,Middle
